Symbol,Name,Sector,Industry,Exchange,,,TSLA,"Tesla, Inc. ",Capital Goods,Auto Manufacturing,NASDAQ
DVD,"Dover Motorsports, Inc.",Consumer Services,Services-Misc. Amusement & Recreation,NYSE,,,,,,,
DWDP,DowDuPont Inc.,Basic Industries,Major Chemicals,NYSE,,,,,,,
RDY,Dr. Reddy&#39;s Laboratories Ltd,Health Care,Major Pharmaceuticals,NYSE,,,,,,,
DRD,DRDGOLD Limited,Basic Industries,Precious Metals,NYSE,,,,,,,
DCF,Dreyfus Alcentra,n/a,n/a,NYSE,,,,,,,
DHF,Dreyfus High Yield Strategies Fund,n/a,n/a,NYSE,,,,,,,
DMB,"Dreyfus Municipal Bond Infrastructure Fund, Inc.",n/a,n/a,NYSE,,,,,,,
DSM,"Dreyfus Strategic Municipal Bond Fund, Inc.",n/a,n/a,NYSE,,,,,,,
LEO,"Dreyfus Strategic Municipals, Inc.",n/a,n/a,NYSE,,,,,,,
DRQ,"Dril-Quip, Inc.",Energy,Metal Fabrications,NYSE,,,,,,,
DS,Drive Shack Inc.,Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
DS^B,Drive Shack Inc.,n/a,n/a,NYSE,,,,,,,
DS^C,Drive Shack Inc.,n/a,n/a,NYSE,,,,,,,
DS^D,Drive Shack Inc.,n/a,n/a,NYSE,,,,,,,
DSW,DSW Inc.,Consumer Services,Clothing/Shoe/Accessory Stores,NYSE,,,,,,,
DTE,DTE Energy Company,Public Utilities,Electric Utilities: Central,NYSE,,,,,,,
DTJ,DTE Energy Company,Public Utilities,Electric Utilities: Central,NYSE,,,,,,,
DTQ,DTE Energy Company,Public Utilities,Electric Utilities: Central,NYSE,,,,,,,
DTV,DTE Energy Company,Public Utilities,Electric Utilities: Central,NYSE,,,,,,,
DTW,DTE Energy Company,Public Utilities,Electric Utilities: Central,NYSE,,,,,,,
DTY,DTE Energy Company,Public Utilities,Electric Utilities: Central,NYSE,,,,,,,
DCO,Ducommun Incorporated,Capital Goods,Military/Government/Technical,NYSE,,,,,,,
DPG,Duff & Phelps Global Utility Income Fund Inc.,n/a,n/a,NYSE,,,,,,,
DSE,Duff & Phelps Select Energy MLP Fund Inc.,n/a,n/a,NYSE,,,,,,,
DNP,"Duff & Phelps Utilities Income, Inc.",n/a,n/a,NYSE,,,,,,,
DTF,"Duff & Phelps Utilities Tax-Free Income, Inc.",n/a,n/a,NYSE,,,,,,,
DUC,"Duff & Phelps Utility & Corporate Bond Trust, Inc.",n/a,n/a,NYSE,,,,,,,
DUK,Duke Energy Corporation,Public Utilities,Power Generation,NYSE,,,,,,,
DUKB,Duke Energy Corporation,Public Utilities,Power Generation,NYSE,,,,,,,
DUKH,Duke Energy Corporation,Public Utilities,Power Generation,NYSE,,,,,,,
DRE,Duke Realty Corporation,Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
DNB,Dun & Bradstreet Corporation (The),Finance,Finance: Consumer Services,NYSE,,,,,,,
DXC,DXC Technology Company,Technology,EDP Services,NYSE,,,,,,,
DY,"Dycom Industries, Inc.",Basic Industries,Water Supply,NYSE,,,,,,,
DLNG,Dynagas LNG Partners LP,Consumer Services,Marine Transportation,NYSE,,,,,,,
DLNG^A,Dynagas LNG Partners LP,n/a,n/a,NYSE,,,,,,,
DX,"Dynex Capital, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
DX^A,"Dynex Capital, Inc.",n/a,n/a,NYSE,,,,,,,
DX^B,"Dynex Capital, Inc.",n/a,n/a,NYSE,,,,,,,
DD^A,E.I. du Pont de Nemours and Company,Basic Industries,Major Chemicals,NYSE,,,,,,,
DD^B,E.I. du Pont de Nemours and Company,Basic Industries,Major Chemicals,NYSE,,,,,,,
ELF,"e.l.f. Beauty, Inc.",Consumer Non-Durables,Package Goods/Cosmetics,NYSE,,,,,,,
EGIF,Eagle Growth and Income Opportunities Fund,n/a,n/a,NYSE,,,,,,,
EXP,Eagle Materials Inc,Capital Goods,Building Materials,NYSE,,,,,,,
ECC           ,Eagle Point Credit Company Inc.,n/a,n/a,NYSE,,,,,,,
ECCA,Eagle Point Credit Company Inc.,n/a,n/a,NYSE,,,,,,,
ECCB,Eagle Point Credit Company Inc.,n/a,n/a,NYSE,,,,,,,
ECCX,Eagle Point Credit Company Inc.,n/a,n/a,NYSE,,,,,,,
ECCY,Eagle Point Credit Company Inc.,n/a,n/a,NYSE,,,,,,,
ESTE,"Earthstone Energy, Inc.",Energy,Oil & Gas Production,NYSE,,,,,,,
DEA,"Easterly Government Properties, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
EGP,"EastGroup Properties, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
EMN,Eastman Chemical Company,Basic Industries,Major Chemicals,NYSE,,,,,,,
KODK,Eastman Kodak Company,Miscellaneous,Industrial Machinery/Components,NYSE,,,,,,,
ETN,"Eaton Corporation, PLC",Technology,Industrial Machinery/Components,NYSE,,,,,,,
ETV,Eaton Vance Corporation,n/a,n/a,NYSE,,,,,,,
ETW,Eaton Vance Corporation,n/a,n/a,NYSE,,,,,,,
EV,Eaton Vance Corporation,Finance,Investment Managers,NYSE,,,,,,,
EOI,Eaton Vance Enhance Equity Income Fund,n/a,n/a,NYSE,,,,,,,
EOS,Eaton Vance Enhanced Equity Income Fund II,n/a,n/a,NYSE,,,,,,,
EFT,Eaton Vance Floating Rate Income Trust,n/a,n/a,NYSE,,,,,,,
EFL,Eaton Vance Floating-Rate 2022 Target Term Trust,n/a,n/a,NYSE,,,,,,,
EFF,Eaton vance Floating-Rate Income Plus Fund,n/a,n/a,NYSE,,,,,,,
EHT,Eaton Vance High Income 2021 Target Term Trust,n/a,n/a,NYSE,,,,,,,
ETX           ,Eaton Vance Municipal Income 2028 Term Trust,n/a,n/a,NYSE,,,,,,,
EOT,Eaton Vance Municipal Income Trust,n/a,n/a,NYSE,,,,,,,
EVN,Eaton Vance Municipal Income Trust,n/a,n/a,NYSE,,,,,,,
ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund,n/a,n/a,NYSE,,,,,,,
EFR,Eaton Vance Senior Floating-Rate Fund,n/a,n/a,NYSE,,,,,,,
EVF,Eaton Vance Senior Income Trust,n/a,n/a,NYSE,,,,,,,
EVG,Eaton Vance Short Diversified Income Fund,n/a,n/a,NYSE,,,,,,,
EVT,Eaton Vance Tax Advantaged Dividend Income Fund,n/a,n/a,NYSE,,,,,,,
ETO,Eaton Vance Tax-Advantage Global Dividend Opp,n/a,n/a,NYSE,,,,,,,
EXD,Eaton Vance Tax-Advantaged Bond,n/a,n/a,NYSE,,,,,,,
ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund,n/a,n/a,NYSE,,,,,,,
ETB,Eaton Vance Tax-Managed Buy-Write Income Fund,n/a,n/a,NYSE,,,,,,,
ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund,n/a,n/a,NYSE,,,,,,,
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,n/a,n/a,NYSE,,,,,,,
ECT,ECA Marcellus Trust I,Energy,Oil & Gas Production,NYSE,,,,,,,
ECR,Eclipse Resources Corporation,Energy,Oil & Gas Production,NYSE,,,,,,,
ECL,Ecolab Inc.,Basic Industries,Package Goods/Cosmetics,NYSE,,,,,,,
EC,Ecopetrol S.A.,Energy,Oil & Gas Production,NYSE,,,,,,,
EIX,Edison International,Public Utilities,Electric Utilities: Central,NYSE,,,,,,,
EW,Edwards Lifesciences Corporation,Health Care,Industrial Specialties,NYSE,,,,,,,
EHIC,eHi Car Services Limited,Consumer Services,Rental/Leasing Companies,NYSE,,,,,,,
EP^C,El Paso Corporation,Public Utilities,Natural Gas Distribution,NYSE,,,,,,,
EE,El Paso Electric Company,Public Utilities,Electric Utilities: Central,NYSE,,,,,,,
ELAN,Elanco Animal Health Incorporated,Health Care,Major Pharmaceuticals,NYSE,,,,,,,
EGO,Eldorado Gold Corporation,Basic Industries,Precious Metals,NYSE,,,,,,,
ELVT,"Elevate Credit, Inc.",Finance,Finance: Consumer Services,NYSE,,,,,,,
LLY,Eli Lilly and Company,Health Care,Major Pharmaceuticals,NYSE,,,,,,,
ELLI,"Ellie Mae, Inc.",Technology,Computer Software: Prepackaged Software,NYSE,,,,,,,
EFC,Ellington Financial LLC,Finance,Real Estate,NYSE,,,,,,,
EARN,Ellington Residential Mortgage REIT,Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
AKO.A,Embotelladora Andina S.A.,n/a,n/a,NYSE,,,,,,,
AKO.B,Embotelladora Andina S.A.,n/a,n/a,NYSE,,,,,,,
ERJ,Embraer S.A.,Capital Goods,Aerospace,NYSE,,,,,,,
EME,"EMCOR Group, Inc.",Capital Goods,Engineering & Construction,NYSE,,,,,,,
EEX,"Emerald Expositions Events, Inc.",Miscellaneous,Business Services,NYSE,,,,,,,
EMES,Emerge Energy Services LP,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),NYSE,,,,,,,
EBS,"Emergent Biosolutions, Inc.",Health Care,Major Pharmaceuticals,NYSE,,,,,,,
EMR,Emerson Electric Company,Energy,Consumer Electronics/Appliances,NYSE,,,,,,,
ESRT,"Empire State Realty Trust, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
EIG,Employers Holdings Inc,Finance,Property-Casualty Insurers,NYSE,,,,,,,
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor),Public Utilities,Electric Utilities: Central,NYSE,,,,,,,
ENBL,"Enable Midstream Partners, LP",Public Utilities,Natural Gas Distribution,NYSE,,,,,,,
EEQ,Enbridge Energy Management LLC,Energy,Oil & Gas Production,NYSE,,,,,,,
EEP,"Enbridge Energy, L.P.",Energy,Natural Gas Distribution,NYSE,,,,,,,
ENB,Enbridge Inc,Energy,Natural Gas Distribution,NYSE,,,,,,,
ENBA,Enbridge Inc,Energy,Natural Gas Distribution,NYSE,,,,,,,
ECA,Encana Corporation,Energy,Oil & Gas Production,NYSE,,,,,,,
EHC,Encompass Health Corporation,Health Care,Hospital/Nursing Management,NYSE,,,,,,,
DAVA,Endava plc,Technology,EDP Services,NYSE,,,,,,,
EXK,Endeavour Silver Corporation,Basic Industries,Precious Metals,NYSE,,,,,,,
ENIA,Enel Americas S.A.,Public Utilities,Electric Utilities: Central,NYSE,,,,,,,
ENIC,Enel Chile S.A.,Public Utilities,Electric Utilities: Central,NYSE,,,,,,,
EOCC,Enel Generacion Chile S.A.,Public Utilities,Electric Utilities: Central,NYSE,,,,,,,
EGN,Energen Corporation,Energy,Oil & Gas Production,NYSE,,,,,,,
ENR,"Energizer Holdings, Inc.",Miscellaneous,Industrial Machinery/Components,NYSE,,,,,,,
EPC,"Energizer Holdings, Inc.",Consumer Non-Durables,Package Goods/Cosmetics,NYSE,,,,,,,
ETE,"Energy Transfer Equity, L.P.",Public Utilities,Natural Gas Distribution,NYSE,,,,,,,
ETP,"Energy Transfer Partners, L.P.",Energy,Natural Gas Distribution,NYSE,,,,,,,
ETP^C,"Energy Transfer Partners, L.P.",n/a,n/a,NYSE,,,,,,,
ETP^D,"Energy Transfer Partners, L.P.",n/a,n/a,NYSE,,,,,,,
ERF,Enerplus Corporation,Energy,Oil & Gas Production,NYSE,,,,,,,
ENS,Enersys,Consumer Non-Durables,Telecommunications Equipment,NYSE,,,,,,,
EGL,"Engility Holdings, Inc.",Consumer Services,Military/Government/Technical,NYSE,,,,,,,
E,ENI S.p.A.,Energy,Oil & Gas Production,NYSE,,,,,,,
ENLK,"EnLink Midstream Partners, LP",Public Utilities,Natural Gas Distribution,NYSE,,,,,,,
ENLC,"EnLink Midstream, LLC",Public Utilities,Natural Gas Distribution,NYSE,,,,,,,
EBF,"Ennis, Inc.",Consumer Services,Office Equipment/Supplies/Services,NYSE,,,,,,,
ENVA,"Enova International, Inc.",Finance,Finance: Consumer Services,NYSE,,,,,,,
NPO,EnPro Industries,Basic Industries,Metal Fabrications,NYSE,,,,,,,
ESV,ENSCO plc,Energy,Oil & Gas Production,NYSE,,,,,,,
ETM,Entercom Communications Corp.,Consumer Services,Broadcasting,NYSE,,,,,,,
EAB,"Entergy Arkansas, Inc.",Public Utilities,Electric Utilities: Central,NYSE,,,,,,,
EAE,"Entergy Arkansas, Inc.",Public Utilities,Electric Utilities: Central,NYSE,,,,,,,
EAI,"Entergy Arkansas, Inc.",Public Utilities,Electric Utilities: Central,NYSE,,,,,,,
ETR,Entergy Corporation,Public Utilities,Electric Utilities: Central,NYSE,,,,,,,
ELC,"Entergy Louisiana, Inc.",Public Utilities,Electric Utilities: Central,NYSE,,,,,,,
ELJ,"Entergy Louisiana, Inc.",Public Utilities,Electric Utilities: Central,NYSE,,,,,,,
ELU,"Entergy Louisiana, Inc.",Public Utilities,Electric Utilities: Central,NYSE,,,,,,,
EMP,"Entergy Mississippi, Inc.",Public Utilities,Electric Utilities: Central,NYSE,,,,,,,
ENJ,"Entergy New Orleans, LLC",Public Utilities,Power Generation,NYSE,,,,,,,
ENO,"Entergy New Orleans, LLC",Public Utilities,Power Generation,NYSE,,,,,,,
EZT,Entergy Texas Inc,Public Utilities,Electric Utilities: Central,NYSE,,,,,,,
EPD,Enterprise Products Partners L.P.,Public Utilities,Natural Gas Distribution,NYSE,,,,,,,
EVC,Entravision Communications Corporation,Consumer Services,Broadcasting,NYSE,,,,,,,
ENV,"Envestnet, Inc",Miscellaneous,Business Services,NYSE,,,,,,,
EVHC,Envision Healthcare Corporation,Health Care,Medical/Nursing Services,NYSE,,,,,,,
EVA,"Enviva Partners, LP",Basic Industries,Forest Products,NYSE,,,,,,,
ENZ,"Enzo Biochem, Inc.",Health Care,Medical Specialities,NYSE,,,,,,,
EOG,"EOG Resources, Inc.",Energy,Oil & Gas Production,NYSE,,,,,,,
EPE,EP Energy Corporation,Energy,Oil & Gas Production,NYSE,,,,,,,
EPAM,"EPAM Systems, Inc.",Technology,EDP Services,NYSE,,,,,,,
EPR,EPR Properties,Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
EPR^C,EPR Properties,n/a,n/a,NYSE,,,,,,,
EPR^E,EPR Properties,n/a,n/a,NYSE,,,,,,,
EPR^G,EPR Properties,n/a,n/a,NYSE,,,,,,,
EQT,EQT Corporation,Energy,Oil & Gas Production,NYSE,,,,,,,
EQGP,"EQT GP Holdings, LP",Public Utilities,Natural Gas Distribution,NYSE,,,,,,,
EQM,"EQT Midstream Partners, LP",Public Utilities,Natural Gas Distribution,NYSE,,,,,,,
EFX,"Equifax, Inc.",Finance,Finance: Consumer Services,NYSE,,,,,,,
EQNR,Equinor ASA,Energy,Integrated oil Companies,NYSE,,,,,,,
EQC,Equity Commonwealth,Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
EQC^D,Equity Commonwealth,n/a,n/a,NYSE,,,,,,,
ELS,"Equity Lifestyle Properties, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
EQR,Equity Residential,Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
EQS,"Equus Total Return, Inc.",n/a,n/a,NYSE,,,,,,,
ERA,"Era Group, Inc.",Transportation,Transportation Services,NYSE,,,,,,,
EROS,Eros International PLC,Consumer Services,Movies/Entertainment,NYSE,,,,,,,
ESE,ESCO Technologies Inc.,Consumer Durables,Telecommunications Equipment,NYSE,,,,,,,
ESNT,Essent Group Ltd.,Finance,Property-Casualty Insurers,NYSE,,,,,,,
EPRT,"Essential Properties Realty Trust, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
ESS,"Essex Property Trust, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
EL,"Estee Lauder Companies, Inc. (The)",Consumer Non-Durables,Package Goods/Cosmetics,NYSE,,,,,,,
ESL,Esterline Technologies Corporation,Capital Goods,Industrial Machinery/Components,NYSE,,,,,,,
ETH,Ethan Allen Interiors Inc.,Consumer Durables,Home Furnishings,NYSE,,,,,,,
EURN,Euronav NV,Transportation,Marine Transportation,NYSE,,,,,,,
EEA,"European Equity Fund, Inc. (The)",n/a,n/a,NYSE,,,,,,,
EB,"Eventbrite, Inc.",Technology,"Computer Software: Programming, Data Processing",NYSE,,,,,,,
EVR,Evercore Inc.,Finance,Investment Managers,NYSE,,,,,,,
RE,"Everest Re Group, Ltd.",Finance,Property-Casualty Insurers,NYSE,,,,,,,
EVRG,"Evergy, Inc.",Public Utilities,Power Generation,NYSE,,,,,,,
EVRI,Everi Holdings Inc.,Consumer Services,Services-Misc. Amusement & Recreation,NYSE,,,,,,,
ES,Eversource Energy,Public Utilities,Electric Utilities: Central,NYSE,,,,,,,
EVTC,"Evertec, Inc.",Technology,EDP Services,NYSE,,,,,,,
EVH,"Evolent Health, Inc",Consumer Services,Other Consumer Services,NYSE,,,,,,,
AQUA,Evoqua Water Technologies Corp.,Technology,Industrial Machinery/Components,NYSE,,,,,,,
XAN,Exantas Capital Corp.,Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
XAN^C,Exantas Capital Corp.,n/a,n/a,NYSE,,,,,,,
EXC,Exelon Corporation,Public Utilities,Power Generation,NYSE,,,,,,,
EXPR,"Express, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,NYSE,,,,,,,
EXTN,Exterran Corporation,Technology,Diversified Commercial Services,NYSE,,,,,,,
EXR,Extra Space Storage Inc,Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
XOM,Exxon Mobil Corporation,Energy,Integrated oil Companies,NYSE,,,,,,,
FNB,F.N.B. Corporation,Finance,Major Banks,NYSE,,,,,,,
FNB^E,F.N.B. Corporation,n/a,n/a,NYSE,,,,,,,
FN,Fabrinet,Public Utilities,Telecommunications Equipment,NYSE,,,,,,,
FDS,FactSet Research Systems Inc.,Technology,"Computer Software: Programming, Data Processing",NYSE,,,,,,,
FICO,Fair Isaac Corporation,Miscellaneous,Business Services,NYSE,,,,,,,
SFUN,Fang Holdings Limited,Technology,EDP Services,NYSE,,,,,,,
FPAC,Far Point Acquisition Corporation,Finance,Business Services,NYSE,,,,,,,
FPAC.U,Far Point Acquisition Corporation,n/a,n/a,NYSE,,,,,,,
FPAC.WS,Far Point Acquisition Corporation,n/a,n/a,NYSE,,,,,,,
FTCH,Farfetch Limited,Miscellaneous,Business Services,NYSE,,,,,,,
FPI,Farmland Partners Inc.,Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
FPI^B,Farmland Partners Inc.,n/a,n/a,NYSE,,,,,,,
FBK,FB Financial Corporation,Finance,Major Banks,NYSE,,,,,,,
FFG,"FBL Financial Group, Inc.",Finance,Life Insurance,NYSE,,,,,,,
FCB,"FCB Financial Holdings, Inc.",Finance,Major Banks,NYSE,,,,,,,
AGM,Federal Agricultural Mortgage Corporation,Finance,Finance Companies,NYSE,,,,,,,
AGM.A,Federal Agricultural Mortgage Corporation,n/a,n/a,NYSE,,,,,,,
AGM^A,Federal Agricultural Mortgage Corporation,n/a,n/a,NYSE,,,,,,,
AGM^B,Federal Agricultural Mortgage Corporation,n/a,n/a,NYSE,,,,,,,
AGM^C,Federal Agricultural Mortgage Corporation,n/a,n/a,NYSE,,,,,,,
FRT,Federal Realty Investment Trust,Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
FRT^C,Federal Realty Investment Trust,n/a,n/a,NYSE,,,,,,,
FSS,Federal Signal Corporation,Capital Goods,Auto Manufacturing,NYSE,,,,,,,
FII,"Federated Investors, Inc.",Finance,Investment Managers,NYSE,,,,,,,
FMN,Federated Premier Municipal Income Fund,n/a,n/a,NYSE,,,,,,,
FDX,FedEx Corporation,Transportation,Air Freight/Delivery Services,NYSE,,,,,,,
RACE,Ferrari N.V.,Capital Goods,Auto Manufacturing,NYSE,,,,,,,
FGP,"Ferrellgas Partners, L.P.",Consumer Services,Other Specialty Stores,NYSE,,,,,,,
FOE,Ferro Corporation,Basic Industries,Paints/Coatings,NYSE,,,,,,,
FG,FGL Holdings,Finance,Life Insurance,NYSE,,,,,,,
FG.WS,FGL Holdings,n/a,n/a,NYSE,,,,,,,
FCAU,Fiat Chrysler Automobiles N.V.,Capital Goods,Auto Manufacturing,NYSE,,,,,,,
FBR,Fibria Celulose S.A.,Basic Industries,Paper,NYSE,,,,,,,
FNF,"Fidelity National Financial, Inc.",Finance,Specialty Insurers,NYSE,,,,,,,
FIS,"Fidelity National Information Services, Inc.",Miscellaneous,Business Services,NYSE,,,,,,,
FMO,Fiduciary/Claymore MLP Opportunity Fund,n/a,n/a,NYSE,,,,,,,
FAF,First American Corporation (The),Finance,Specialty Insurers,NYSE,,,,,,,
FBP,First BanCorp.,Finance,Major Banks,NYSE,,,,,,,
FCFS,"First Cash, Inc.",Consumer Services,Other Specialty Stores,NYSE,,,,,,,
FCF,First Commonwealth Financial Corporation,Finance,Major Banks,NYSE,,,,,,,
FDC,First Data Corporation,Miscellaneous,Business Services,NYSE,,,,,,,
FHN,First Horizon National Corporation,Finance,Major Banks,NYSE,,,,,,,
FHN^A,First Horizon National Corporation,n/a,n/a,NYSE,,,,,,,
FR,"First Industrial Realty Trust, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
AG,First Majestic Silver Corp.,Basic Industries,Precious Metals,NYSE,,,,,,,
FRC,FIRST REPUBLIC BANK,n/a,n/a,NYSE,,,,,,,
FRC^D,FIRST REPUBLIC BANK,n/a,n/a,NYSE,,,,,,,
FRC^E,FIRST REPUBLIC BANK,n/a,n/a,NYSE,,,,,,,
FRC^F,FIRST REPUBLIC BANK,n/a,n/a,NYSE,,,,,,,
FRC^G,FIRST REPUBLIC BANK,n/a,n/a,NYSE,,,,,,,
FRC^H,FIRST REPUBLIC BANK,n/a,n/a,NYSE,,,,,,,
FRC^I,FIRST REPUBLIC BANK,n/a,n/a,NYSE,,,,,,,
FFA,First Trust,n/a,n/a,NYSE,,,,,,,
FMY,First Trust,n/a,n/a,NYSE,,,,,,,
FDEU,First Trust Dynamic Europe Equity Income Fund,n/a,n/a,NYSE,,,,,,,
FIF,First Trust Energy Infrastructure Fund,n/a,n/a,NYSE,,,,,,,
FSD,First Trust High Income Long Short Fund,n/a,n/a,NYSE,,,,,,,
FPF,First Trust Intermediate Duration Preferred & Income Fund,n/a,n/a,NYSE,,,,,,,
FEI           ,First Trust MLP and Energy Income Fund,n/a,n/a,NYSE,,,,,,,
FPL,First Trust New Opportunities MLP & Energy Fund,n/a,n/a,NYSE,,,,,,,
FIV,First Trust Senior Floating Rate 2022 Target Term Fund,n/a,n/a,NYSE,,,,,,,
FCT,First Trust Senior Floating Rate Income Fund II,n/a,n/a,NYSE,,,,,,,
FGB,First Trust Specialty Finance and Financial Opportunities Fund,n/a,n/a,NYSE,,,,,,,
FEO,First Trust/Aberdeen Emerging Opportunity Fund,n/a,n/a,NYSE,,,,,,,
FAM,First Trust/Aberdeen Global Opportunity Income Fund,n/a,n/a,NYSE,,,,,,,
FE,FirstEnergy Corp.,Public Utilities,Electric Utilities: Central,NYSE,,,,,,,
FIT,"Fitbit, Inc.",Technology,Computer Manufacturing,NYSE,,,,,,,
FPH,"Five Point Holdings, LLC",Finance,Real Estate,NYSE,,,,,,,
FBC,"Flagstar Bancorp, Inc.",Finance,Savings Institutions,NYSE,,,,,,,
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc.,n/a,n/a,NYSE,,,,,,,
PFD,Flaherty & Crumrine Preferred Income Fund Incorporated,n/a,n/a,NYSE,,,,,,,
PFO,Flaherty & Crumrine Preferred Income Opportunity Fund Inc,n/a,n/a,NYSE,,,,,,,
FFC,Flaherty & Crumrine Preferred Securities Income Fund Inc,n/a,n/a,NYSE,,,,,,,
FLC,Flaherty & Crumrine Total Return Fund Inc,n/a,n/a,NYSE,,,,,,,
FLT,"FleetCor Technologies, Inc.",Miscellaneous,Business Services,NYSE,,,,,,,
FND,"Floor & Decor Holdings, Inc.",Consumer Services,RETAIL: Building Materials,NYSE,,,,,,,
FTK,"Flotek Industries, Inc.",Basic Industries,Major Chemicals,NYSE,,,,,,,
FLO,"Flowers Foods, Inc.",Consumer Non-Durables,Packaged Foods,NYSE,,,,,,,
FLS,Flowserve Corporation,Capital Goods,Fluid Controls,NYSE,,,,,,,
FLR,Fluor Corporation,Basic Industries,Military/Government/Technical,NYSE,,,,,,,
FLY,Fly Leasing Limited,n/a,n/a,NYSE,,,,,,,
FMC,FMC Corporation,Basic Industries,Major Chemicals,NYSE,,,,,,,
FMX,Fomento Economico Mexicano S.A.B. de C.V.,Consumer Non-Durables,Beverages (Production/Distribution),NYSE,,,,,,,
FL,"Foot Locker, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,NYSE,,,,,,,
F,Ford Motor Company,Capital Goods,Auto Manufacturing,NYSE,,,,,,,
FELP,Foresight Energy LP,Energy,Coal Mining,NYSE,,,,,,,
FCE.A,"Forest City Realty Trust, Inc.",n/a,n/a,NYSE,,,,,,,
FOR,Forestar Group Inc,Finance,Real Estate,NYSE,,,,,,,
FTS,Fortis Inc.,Public Utilities,Electric Utilities: Central,NYSE,,,,,,,
FTV,Fortive Corporation,Capital Goods,Industrial Machinery/Components,NYSE,,,,,,,
FTV.WD,Fortive Corporation,Capital Goods,Industrial Machinery/Components,NYSE,,,,,,,
FTV^A,Fortive Corporation,n/a,n/a,NYSE,,,,,,,
FTAI,Fortress Transportation and Infrastructure Investors LLC,n/a,n/a,NYSE,,,,,,,
FSM,Fortuna Silver Mines Inc.,Basic Industries,Precious Metals,NYSE,,,,,,,
FBHS,"Fortune Brands Home & Security, Inc.",Basic Industries,Homebuilding,NYSE,,,,,,,
FET,"Forum Energy Technologies, Inc.",Energy,Metal Fabrications,NYSE,,,,,,,
FBM,"Foundation Building Materials, Inc.",Consumer Services,RETAIL: Building Materials,NYSE,,,,,,,
FCPT,"Four Corners Property Trust, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
FEDU,Four Seasons Education (Cayman) Inc.,Consumer Services,Other Consumer Services,NYSE,,,,,,,
FNV,Franco-Nevada Corporation,Basic Industries,Precious Metals,NYSE,,,,,,,
FC,Franklin Covey Company,Consumer Services,Other Consumer Services,NYSE,,,,,,,
FSB,"Franklin Financial Network, Inc.",Finance,Major Banks,NYSE,,,,,,,
BEN,"Franklin Resources, Inc.",Finance,Investment Managers,NYSE,,,,,,,
FT,Franklin Universal Trust,n/a,n/a,NYSE,,,,,,,
FI,Frank&#39;s International N.V.,Energy,Oilfield Services/Equipment,NYSE,,,,,,,
FCX,"Freeport-McMoran, Inc.",Basic Industries,Precious Metals,NYSE,,,,,,,
FMS,Fresenius Medical Care Corporation,Health Care,Hospital/Nursing Management,NYSE,,,,,,,
FDP,"Fresh Del Monte Produce, Inc.",Consumer Non-Durables,Farming/Seeds/Milling,NYSE,,,,,,,
RESI,Front Yard Residential Corporation,Finance,Real Estate,NYSE,,,,,,,
FRO,Frontline Ltd.,Transportation,Marine Transportation,NYSE,,,,,,,
FSIC,FS Investment Corporation,n/a,n/a,NYSE,,,,,,,
FCN,"FTI Consulting, Inc.",Consumer Services,Professional Services,NYSE,,,,,,,
FTSI,"FTS International, Inc.",Energy,Oilfield Services/Equipment,NYSE,,,,,,,
FF,FutureFuel Corp.,Basic Industries,Major Chemicals,NYSE,,,,,,,
GCV,"Gabelli Convertible and Income Securities Fund, Inc. (The)",n/a,n/a,NYSE,,,,,,,
GCV^B,"Gabelli Convertible and Income Securities Fund, Inc. (The)",n/a,n/a,NYSE,,,,,,,
GCV~,"Gabelli Convertible and Income Securities Fund, Inc. (The)",n/a,n/a,NYSE,,,,,,,
GDV,Gabelli Dividend,n/a,n/a,NYSE,,,,,,,
GDV^A,Gabelli Dividend,n/a,n/a,NYSE,,,,,,,
